ID CHIRURGIE;DATE CHIRURGIE;HEURE_DEBUT CHIRURGIE;HEURE_FIN CHIRURGIE;SALLE;CHIRURGIEN
122;22/09/2016;10:20:00;11:25:00;BLOC-E1;PRESTON BURKE
123;10/05/2016;15:43:00;19:53:00;BLOC-U6;RICHARD WEBBER
124;26/07/2016;12:38:00;14:11:00;BLOC-U6;LAWRENCE KUTNER
125;01/11/2014;19:10:00;20:19:00;BLOC-U6;REMY HADLEY
126;18/06/2015;12:43:00;13:57:00;BLOC-U6;MEREDITH GREY
127;24/07/2014;08:00:00;11:01:00;BLOC-E2;LAWRENCE KUTNER
128;22/01/2016;22:05:00;00:29:00;BLOC-U6;MEREDITH GREY
129;22/05/2014;15:10:00;15:35:00;BLOC-E3;LISA CUDDY
130;02/07/2015;10:00:00;10:30:00;BLOC-E3;CHRIS TAUB
131;27/06/2016;12:53:00;15:17:00;BLOC-E1;ALEX KAREV
132;09/09/2015;12:33:00;15:16:00;BLOC-E1;GREGORY HOUSE
133;07/11/2014;15:00:00;16:07:00;BLOC-E2;JAMES WILSON
134;02/04/2015;09:45:00;12:25:00;BLOC-U6;LAWRENCE KUTNER
135;10/06/2016;09:50:00;10:42:00;BLOC-E2;RICHARD WEBBER
136;29/05/2016;13:53:00;14:25:00;BLOC-U6;MEREDITH GREY
137;03/03/2015;14:40:00;16:12:00;BLOC-E2;LISA CUDDY
138;01/07/2014;08:00:00;10:12:00;BLOC-E2;GREGORY HOUSE
140;07/05/2014;20:45:00;21:25:00;BLOC-U7;LISA CUDDY
142;21/09/2015;12:18:00;14:02:00;BLOC-E2;GREGORY HOUSE
143;26/11/2014;14:50:00;18:08:00;BLOC-U6;LAWRENCE KUTNER
145;11/02/2015;08:00:00;08:45:00;BLOC-E1;ERIC FOREMAN
146;25/04/2016;12:41:00;14:27:00;BLOC-E1;ALEX KAREV
149;26/08/2016;22:30:00;23:52:00;BLOC-U6;MEREDITH GREY
151;08/09/2014;12:15:00;13:32:00;BLOC-E2;GREGORY HOUSE
152;26/09/2014;15:15:00;15:40:00;BLOC-E3;LISA CUDDY
153;06/08/2015;13:37:00;15:52:00;BLOC-U6;LISA CUDDY
154;10/09/2014;20:15:00;21:30:00;BLOC-U6;JAMES WILSON
155;04/10/2014;20:05:00;20:40:00;BLOC-U6;LAWRENCE KUTNER
158;21/09/2015;08:00:00;09:52:00;BLOC-E3;ROBERT CHASE
159;18/07/2016;13:09:00;14:31:00;BLOC-U5;LAWRENCE KUTNER
160;24/01/2014;08:00:00;10:24:00;BLOC-E1;JAMES WILSON
161;04/11/2015;14:30:00;15:49:00;BLOC-E2;GREGORY HOUSE
162;02/02/2015;12:29:00;16:20:00;BLOC-E1;ERIC FOREMAN
163;21/05/2014;15:05:00;16:20:00;BLOC-E1;ERIC FOREMAN
164;09/04/2015;08:00:00;10:52:00;BLOC-E1;ERIC FOREMAN
165;19/12/2015;21:05:00;22:52:00;BLOC-U6;CHRIS TAUB
167;27/01/2015;15:13:00;17:04:00;BLOC-E2;MEREDITH GREY
168;11/10/2016;08:00:00;10:15:00;BLOC-E2;OWEN HUNT
170;18/03/2014;16:48:00;18:19:00;BLOC-E2;JAMES WILSON
175;28/01/2016;12:04:00;14:45:00;BLOC-E2;GREGORY HOUSE
176;26/05/2016;12:55:00;16:33:00;BLOC-E1;PRESTON BURKE
177;03/01/2015;16:51:00;18:29:00;BLOC-U6;JAMES WILSON
178;13/07/2015;17:55:00;18:38:00;BLOC-U6;LISA CUDDY
179;18/05/2015;13:24:00;14:35:00;BLOC-E2;GREGORY HOUSE
180;06/09/2015;11:05:00;12:20:00;BLOC-U6;LAWRENCE KUTNER
181;29/10/2014;13:40:00;16:49:00;BLOC-E1;LAWRENCE KUTNER
182;20/11/2014;12:35:00;15:04:00;BLOC-U6;MEREDITH GREY
183;09/06/2015;13:06:00;14:26:00;BLOC-E2;JAMES WILSON
184;26/01/2016;08:45:00;10:00:00;BLOC-E2;DEREK SHEPHERD
185;06/02/2014;08:00:00;10:19:00;BLOC-E1;ERIC FOREMAN
186;21/08/2014;22:55:00;23:45:00;BLOC-U7;REMY HADLEY
187;12/06/2014;08:00:00;10:13:00;BLOC-E1;ERIC FOREMAN
188;11/05/2015;16:20:00;17:39:00;BLOC-E1;ERIC FOREMAN
189;23/05/2016;15:47:00;17:43:00;BLOC-E2;ALEX KAREV
190;05/05/2015;11:18:00;12:44:00;BLOC-E2;JAMES WILSON
191;01/04/2015;11:13:00;11:51:00;BLOC-E2;GREGORY HOUSE
192;27/07/2014;18:40:00;19:18:00;BLOC-U7;LAWRENCE KUTNER
193;17/10/2014;13:20:00;14:51:00;BLOC-E1;GREGORY HOUSE
194;17/06/2016;10:46:00;12:30:00;BLOC-E1;GREGORY HOUSE
195;29/09/2016;10:47:00;11:46:00;BLOC-E1;PRESTON BURKE
196;07/03/2014;09:39:00;10:11:00;BLOC-E2;JAMES WILSON
197;20/02/2015;14:12:00;15:30:00;BLOC-E2;JAMES WILSON
198;02/10/2015;08:50:00;11:08:00;BLOC-U6;LAWRENCE KUTNER
199;13/04/2015;14:55:00;15:37:00;BLOC-E3;MEREDITH GREY
200;02/11/2016;12:20:00;13:39:00;BLOC-E1;GREGORY HOUSE
201;23/01/2014;00:05:00;00:35:00;BLOC-U7;MIRANDA BAILEY
202;09/01/2016;00:39:00;02:14:00;BLOC-U6;LAWRENCE KUTNER
204;17/02/2016;22:55:00;01:03:00;BLOC-U6;RICHARD WEBBER
205;31/10/2015;01:41:00;02:31:00;BLOC-U6;MEREDITH GREY
206;21/01/2016;08:00:00;09:08:00;BLOC-E2;MEREDITH GREY
207;27/11/2014;13:20:00;14:05:00;BLOC-E1;ERIC FOREMAN
208;05/06/2016;12:30:00;13:15:00;BLOC-U6;DEREK SHEPHERD
209;07/09/2016;13:47:00;15:57:00;BLOC-E1;GREGORY HOUSE
212;12/03/2015;08:00:00;10:47:00;BLOC-E2;LISA CUDDY
213;12/04/2015;14:50:00;16:56:00;BLOC-U6;LISA CUDDY
214;12/05/2016;14:38:00;17:04:00;BLOC-U6;DEREK SHEPHERD
216;01/12/2015;11:05:00;12:57:00;BLOC-U6;MEREDITH GREY
217;07/10/2014;08:10:00;10:09:00;BLOC-E1;GREGORY HOUSE
218;22/12/2014;11:12:00;14:39:00;BLOC-U6;MEREDITH GREY
219;11/09/2015;15:40:00;16:59:00;BLOC-E1;GREGORY HOUSE
220;16/10/2015;12:15:00;14:31:00;BLOC-E1;GREGORY HOUSE
221;27/03/2014;16:45:00;17:00:00;BLOC-E2;JAMES WILSON
222;02/03/2015;15:30:00;17:47:00;BLOC-E3;ROBERT CHASE
223;05/02/2014;08:00:00;10:15:00;BLOC-E1;ERIC FOREMAN
224;17/12/2015;10:20:00;11:22:00;BLOC-E2;CHRIS TAUB
225;29/02/2016;12:40:00;13:50:00;BLOC-E1;GREGORY HOUSE
226;14/01/2015;18:10:00;19:42:00;BLOC-U6;ROBERT CHASE
227;26/04/2016;10:02:00;11:05:00;BLOC-E3;MIRANDA BAILEY
228;07/10/2015;13:24:00;17:30:00;BLOC-E1;ERIC FOREMAN
229;11/05/2015;11:10:00;12:46:00;BLOC-E2;GREGORY HOUSE
230;24/03/2016;08:00:00;10:50:00;BLOC-E1;ALEX KAREV
231;04/02/2014;08:00:00;10:27:00;BLOC-E3;ROBERT CHASE
232;13/05/2014;12:50:00;13:40:00;BLOC-E1;LAWRENCE KUTNER
233;27/10/2016;08:28:00;09:20:00;BLOC-E2;RICHARD WEBBER
234;02/02/2016;11:30:00;12:07:00;BLOC-E3;DEREK SHEPHERD
235;27/03/2014;16:00:00;18:00:00;BLOC-E3;LAWRENCE KUTNER
237;19/09/2014;11:53:00;12:27:00;BLOC-E1;LAWRENCE KUTNER
239;22/10/2014;15:00:00;16:01:00;BLOC-E2;GREGORY HOUSE
240;06/09/2016;12:10:00;16:00:00;BLOC-E2;OWEN HUNT
241;21/10/2014;18:54:00;20:33:00;BLOC-U6;PRESTON BURKE
242;08/04/2015;19:47:00;21:27:00;BLOC-U6;JAMES WILSON
243;21/04/2016;15:33:00;17:03:00;BLOC-E3;DEREK SHEPHERD
244;11/01/2014;18:45:00;19:15:00;BLOC-U7;LAWRENCE KUTNER
245;06/01/2014;07:50:00;10:21:00;BLOC-E2;ERIC FOREMAN
246;17/08/2016;08:00:00;12:34:00;BLOC-E1;ALEX KAREV
247;28/09/2015;08:00:00;11:40:00;BLOC-E2;ROBERT CHASE
250;14/04/2015;11:59:00;14:19:00;BLOC-U6;MEREDITH GREY
252;10/03/2015;15:03:00;17:13:00;BLOC-U6;ROBERT CHASE
253;26/11/2015;11:41:00;13:11:00;BLOC-E3;DEREK SHEPHERD
254;06/09/2016;15:07:00;17:01:00;BLOC-E1;DEREK SHEPHERD
255;17/05/2016;08:34:00;10:53:00;BLOC-U6;MEREDITH GREY
256;28/10/2014;12:37:00;14:09:00;BLOC-E2;JAMES WILSON
257;29/06/2015;08:00:00;10:23:00;BLOC-E2;GREGORY HOUSE
258;19/05/2016;12:02:00;16:04:00;BLOC-E1;PRESTON BURKE
259;26/05/2016;12:56:00;13:17:00;BLOC-E3;MEREDITH GREY
260;26/12/2014;20:30:00;22:11:00;BLOC-U6;ROBERT CHASE
261;25/08/2014;13:47:00;15:34:00;BLOC-U7;ERIC FOREMAN
262;02/10/2014;15:13:00;15:57:00;BLOC-E1;LISA CUDDY
264;27/05/2014;13:05:00;14:20:00;BLOC-E1;GREGORY HOUSE
265;22/06/2015;11:33:00;12:54:00;BLOC-U6;MEREDITH GREY
266;16/08/2014;13:08:00;15:29:00;BLOC-U7;LISA CUDDY
267;19/09/2014;13:00:00;13:43:00;BLOC-E1;LISA CUDDY
268;22/01/2015;10:00:00;10:46:00;BLOC-U6;MEREDITH GREY
269;06/08/2016;21:05:00;21:34:00;BLOC-U6;DEREK SHEPHERD
270;17/02/2015;12:31:00;13:42:00;BLOC-E1;JAMES WILSON
272;04/01/2015;21:55:00;23:40:00;BLOC-U6;LAWRENCE KUTNER
273;07/04/2016;09:30:00;11:04:00;BLOC-E3;CHRIS TAUB
274;17/01/2014;14:35:00;15:50:00;BLOC-E2;LAWRENCE KUTNER
276;02/07/2015;10:24:00;14:31:00;BLOC-E2;LAWRENCE KUTNER
277;03/12/2015;09:27:00;10:10:00;BLOC-U9;CHRIS TAUB
278;23/04/2015;08:00:00;11:04:00;BLOC-E1;CHRIS TAUB
279;19/02/2016;10:25:00;11:08:00;BLOC-U6;PRESTON BURKE
280;08/03/2016;12:24:00;13:21:00;BLOC-E1;GREGORY HOUSE
281;15/07/2014;08:00:00;10:49:00;BLOC-E1;GREGORY HOUSE
282;22/07/2016;14:22:00;16:44:00;BLOC-E2;GREGORY HOUSE
283;07/10/2016;08:00:00;09:52:00;BLOC-E2;DEREK SHEPHERD
284;06/11/2014;12:45:00;14:10:00;BLOC-E1;ERIC FOREMAN
285;17/01/2016;12:45:00;15:25:00;BLOC-U6;RICHARD WEBBER
286;11/07/2016;14:13:00;14:38:00;BLOC-E1;RICHARD WEBBER
287;22/10/2016;12:46:00;13:57:00;BLOC-U6;OWEN HUNT
288;16/01/2016;10:17:00;12:14:00;BLOC-U6;PRESTON BURKE
289;11/09/2015;13:30:00;15:05:00;BLOC-E1;GREGORY HOUSE
290;14/07/2014;17:30:00;18:16:00;BLOC-U6;LAWRENCE KUTNER
291;23/12/2015;08:00:00;10:39:00;BLOC-E1;GREGORY HOUSE
292;01/04/2015;21:30:00;22:52:00;BLOC-U6;MEREDITH GREY
293;18/05/2015;09:54:00;10:12:00;BLOC-E3;MEREDITH GREY
294;19/06/2015;09:20:00;16:38:00;BLOC-U6;LAWRENCE KUTNER
295;27/07/2015;10:52:00;12:10:00;BLOC-E2;GREGORY HOUSE
296;24/10/2014;08:45:00;12:50:00;BLOC-U6;MIRANDA BAILEY
297;30/05/2014;08:00:00;11:18:00;BLOC-E1;ROBERT CHASE
298;11/10/2015;19:20:00;21:30:00;BLOC-U6;LAWRENCE KUTNER
299;22/04/2015;08:00:00;10:18:00;BLOC-E1;GREGORY HOUSE
300;30/07/2014;07:50:00;08:45:00;BLOC-U6;LAWRENCE KUTNER
301;03/05/2014;10:30:00;12:04:00;BLOC-U7;CHRIS TAUB
302;21/08/2014;11:00:00;13:22:00;BLOC-U9;CHRIS TAUB
303;03/04/2015;14:20:00;16:10:00;BLOC-E2;JAMES WILSON
304;07/05/2014;11:15:00;11:45:00;BLOC-E1;ERIC FOREMAN
307;28/01/2014;11:50:00;14:49:00;BLOC-E2;JAMES WILSON
308;06/11/2015;08:00:00;12:16:00;BLOC-E2;MIRANDA BAILEY
309;16/07/2014;08:00:00;10:52:00;BLOC-E1;GREGORY HOUSE
310;22/02/2016;12:39:00;13:35:00;BLOC-E2;ALEX KAREV
311;18/02/2014;08:00:00;13:42:00;BLOC-E3;LISA CUDDY
312;20/01/2015;19:19:00;20:12:00;BLOC-U6;ROBERT CHASE
313;27/04/2015;11:05:00;11:50:00;BLOC-U6;LISA CUDDY
314;15/01/2014;08:00:00;09:37:00;BLOC-E3;LAWRENCE KUTNER
315;28/05/2014;10:25:00;11:08:00;BLOC-E3;LAWRENCE KUTNER
316;26/02/2015;13:35:00;14:48:00;BLOC-E2;ERIC FOREMAN
317;02/01/2014;20:00:00;20:49:00;BLOC-U7;ROBERT CHASE
318;22/08/2016;08:39:00;09:45:00;BLOC-U6;DEREK SHEPHERD
319;30/05/2016;11:30:00;13:00:00;BLOC-E3;MEREDITH GREY
320;01/12/2016;15:05:00;17:45:00;BLOC-E2;MIRANDA BAILEY
321;22/02/2016;10:45:00;13:31:00;BLOC-U6;PRESTON BURKE
322;09/12/2015;10:47:00;12:41:00;BLOC-E2;ALEX KAREV
323;18/04/2016;12:32:00;14:26:00;BLOC-E1;ALEX KAREV
324;09/11/2016;10:40:00;11:40:00;BLOC-E1;GREGORY HOUSE
325;30/03/2015;08:00:00;10:47:00;BLOC-E2;GREGORY HOUSE
326;25/02/2015;14:13:00;15:46:00;BLOC-E2;ERIC FOREMAN
327;17/12/2015;11:28:00;12:57:00;BLOC-E1;ALEX KAREV
330;09/04/2016;14:35:00;17:25:00;BLOC-U6;CHRIS TAUB
332;26/01/2015;15:02:00;16:18:00;BLOC-U6;MEREDITH GREY
333;16/06/2014;08:00:00;09:15:00;BLOC-E3;REMY HADLEY
334;06/10/2014;09:39:00;10:28:00;BLOC-E3;REMY HADLEY
335;11/08/2016;09:00:00;10:30:00;BLOC-U6;DEREK SHEPHERD
336;12/05/2014;19:00:00;20:18:00;BLOC-U7;LISA CUDDY
337;04/06/2014;16:19:00;17:15:00;BLOC-E1;ERIC FOREMAN
338;25/08/2015;00:45:00;01:30:00;BLOC-U6;MEREDITH GREY
339;08/12/2014;11:22:00;12:35:00;BLOC-E2;GREGORY HOUSE
341;18/02/2016;11:11:00;12:03:00;BLOC-E3;CHRIS TAUB
342;10/03/2016;14:10:00;16:10:00;BLOC-U6;RICHARD WEBBER
343;25/11/2015;08:00:00;11:22:00;BLOC-E2;ALEX KAREV
344;03/11/2014;12:54:00;14:30:00;BLOC-E3;ROBERT CHASE
345;29/04/2014;14:40:00;15:08:00;BLOC-E2;JAMES WILSON
346;16/03/2016;08:00:00;10:25:00;BLOC-E1;GREGORY HOUSE
347;18/10/2016;09:50:00;10:49:00;BLOC-U6;MIRANDA BAILEY
348;02/07/2015;08:00:00;11:17:00;BLOC-E1;ROBERT CHASE
349;11/12/2015;08:00:00;09:45:00;BLOC-E3;MIRANDA BAILEY
350;22/12/2014;08:25:00;10:58:00;BLOC-U6;MEREDITH GREY
351;27/08/2015;08:00:00;11:21:00;BLOC-E1;CHRIS TAUB
352;23/06/2016;08:50:00;11:20:00;BLOC-E3;CHRIS TAUB
353;13/02/2014;09:30:00;10:30:00;BLOC-E2;LAWRENCE KUTNER
354;10/04/2014;14:05:00;16:52:00;BLOC-E3;ROBERT CHASE
355;07/07/2014;10:07:00;11:42:00;BLOC-E1;LISA CUDDY
356;15/06/2015;20:30:00;21:18:00;BLOC-E1;LISA CUDDY
357;02/06/2015;15:02:00;16:15:00;BLOC-E1;GREGORY HOUSE
358;16/03/2015;08:00:00;11:04:00;BLOC-E2;GREGORY HOUSE
359;22/10/2015;08:00:00;09:17:00;BLOC-E1;LISA CUDDY
360;17/11/2014;16:50:00;18:19:00;BLOC-U6;MEREDITH GREY
361;10/06/2015;19:15:00;21:01:00;BLOC-U6;ROBERT CHASE
363;03/03/2014;12:25:00;14:10:00;BLOC-E1;ERIC FOREMAN
364;06/09/2015;17:45:00;21:13:00;BLOC-U6;LAWRENCE KUTNER
365;02/10/2015;18:27:00;20:52:00;BLOC-U6;LISA CUDDY
368;22/03/2016;15:00:00;17:25:00;BLOC-U6;DEREK SHEPHERD
376;14/11/2016;11:20:00;12:37:00;BLOC-E3;RICHARD WEBBER
377;18/11/2014;14:45:00;16:45:00;BLOC-E1;MIRANDA BAILEY
378;22/04/2014;08:00:00;10:46:00;BLOC-E1;GREGORY HOUSE
380;05/05/2014;14:15:00;16:37:00;BLOC-E3;REMY HADLEY
381;27/04/2015;13:50:00;15:58:00;BLOC-E2;MEREDITH GREY
382;13/01/2015;15:10:00;17:20:00;BLOC-E1;ROBERT CHASE
383;19/06/2014;15:15:00;16:21:00;BLOC-E1;ERIC FOREMAN
384;30/09/2014;11:02:00;12:24:00;BLOC-E1;GREGORY HOUSE
385;10/01/2014;10:21:00;12:35:00;BLOC-E3;ROBERT CHASE
386;10/06/2014;08:00:00;09:57:00;BLOC-E3;ROBERT CHASE
387;22/05/2016;11:10:00;12:06:00;BLOC-U6;PRESTON BURKE
388;19/02/2016;08:00:00;11:09:00;BLOC-E2;RICHARD WEBBER
389;19/10/2015;12:25:00;13:54:00;BLOC-E1;ERIC FOREMAN
390;19/11/2014;13:50:00;15:01:00;BLOC-E1;ERIC FOREMAN
391;09/12/2015;13:05:00;15:21:00;BLOC-E2;ALEX KAREV
392;12/09/2016;12:15:00;13:43:00;BLOC-E1;GREGORY HOUSE
393;09/02/2015;13:29:00;16:23:00;BLOC-U6;MEREDITH GREY
394;08/07/2015;10:15:00;10:45:00;BLOC-E2;MEREDITH GREY
395;30/07/2015;10:44:00;12:37:00;BLOC-E3;MEREDITH GREY
396;07/09/2015;13:35:00;15:27:00;BLOC-U6;MEREDITH GREY
397;19/07/2014;12:10:00;12:54:00;BLOC-U6;MEREDITH GREY
398;30/10/2015;08:34:00;11:28:00;BLOC-U6;LAWRENCE KUTNER
399;10/09/2015;11:26:00;12:13:00;BLOC-E3;CHRIS TAUB
400;13/01/2014;08:00:00;11:15:00;BLOC-E2;GREGORY HOUSE
401;17/12/2014;16:58:00;17:45:00;BLOC-U6;LAWRENCE KUTNER
402;29/03/2016;17:52:00;20:10:00;BLOC-U6;MEREDITH GREY
403;18/04/2016;10:45:00;12:02:00;BLOC-E2;GREGORY HOUSE
404;28/04/2014;21:00:00;22:08:00;BLOC-U7;REMY HADLEY
405;21/03/2016;08:00:00;12:43:00;BLOC-E2;ALEX KAREV
406;17/06/2014;21:15:00;22:25:00;BLOC-U6;LAWRENCE KUTNER
407;30/06/2015;12:20:00;13:53:00;BLOC-E1;GREGORY HOUSE
409;14/01/2016;13:41:00;14:36:00;BLOC-E3;CHRIS TAUB
410;13/10/2016;14:06:00;14:41:00;BLOC-E3;CHRIS TAUB
411;09/02/2014;16:53:00;19:00:00;BLOC-U7;LAWRENCE KUTNER
412;29/10/2015;09:20:00;10:00:00;BLOC-E1;CHRIS TAUB
416;31/10/2014;22:53:00;23:55:00;BLOC-U6;ROBERT CHASE
417;19/02/2016;19:15:00;21:05:00;BLOC-U6;MEREDITH GREY
419;08/07/2016;16:40:00;17:34:00;BLOC-U6;DEREK SHEPHERD
420;08/04/2014;13:58:00;15:35:00;BLOC-E2;LAWRENCE KUTNER
421;24/10/2014;08:00:00;10:17:00;BLOC-E2;JAMES WILSON
422;10/04/2015;11:15:00;12:48:00;BLOC-E1;JAMES WILSON
423;02/07/2014;16:00:00;17:14:00;BLOC-E3;LAWRENCE KUTNER
424;25/09/2014;11:00:00;16:44:00;BLOC-E3;LISA CUDDY
427;27/02/2014;15:31:00;16:59:00;BLOC-E2;CHRIS TAUB
